model,stage,source_log,absolute_epoch,relative_epoch,loss,ce,smooth,contrast,action_aux,rollout
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,5.0,0.0,6.0749,6.0741,0.0018,0.1536,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,6.0,1.0,6.0689,6.0679,0.002,0.1591,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,7.0,2.0,6.0718,6.0708,0.0021,0.1474,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,8.0,3.0,6.0719,6.0708,0.002,0.1427,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,9.0,4.0,6.0756,6.0743,0.0022,0.1349,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,10.0,5.0,6.0734,6.0721,0.0018,0.1315,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,11.0,6.0,6.0725,6.0712,0.002,0.1242,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,12.0,7.0,6.0728,6.0714,0.0021,0.1202,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,13.0,8.0,6.0731,6.0716,0.0024,0.1126,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,14.0,9.0,6.0706,6.069,0.0025,0.1101,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,15.0,10.0,6.0715,6.0699,0.0024,0.1073,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,16.0,11.0,6.0731,6.0714,0.0025,0.1027,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,17.0,12.0,6.0754,6.0737,0.0025,0.0994,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,18.0,13.0,6.0758,6.0741,0.0027,0.0944,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,19.0,14.0,6.0711,6.0694,0.0028,0.0926,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,20.0,15.0,6.0743,6.0725,0.003,0.0916,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,21.0,16.0,6.0769,6.075,0.0028,0.0905,,
