epoch,stage,loss,ce,smooth,contrast,action_aux,rollout
0.0,main,4.3327,4.3324,0.0,0.0,0.0064,
1.0,main,4.0356,4.0353,1.8818,0.0,0.0025,
2.0,main,4.0078,4.0073,1.9696,0.0,0.0018,
3.0,main,3.9671,3.9665,2.0799,0.0,0.0017,
4.0,main,3.9242,3.9234,2.1799,0.0,0.0015,
5.0,main,3.8735,3.8725,2.3007,0.0,0.0016,
6.0,main,3.8321,3.8308,2.384,0.0,0.0016,
7.0,main,3.7956,3.794,2.4508,0.0,0.0016,
8.0,main,3.7492,3.7474,2.5491,0.0,0.0015,
9.0,main,3.7229,3.7208,2.6113,0.0,0.0015,
10.0,main,3.6732,3.6708,2.7069,0.0,0.0015,
11.0,main,3.6655,3.6629,2.7532,0.0,0.0014,
12.0,main,3.6289,3.6259,2.808,0.0,0.0015,
13.0,main,3.6065,3.6033,2.8306,0.0,0.0015,
14.0,main,3.5952,3.5916,2.8769,0.0,0.0014,
15.0,main,3.5627,3.5589,2.9463,0.0,0.0014,
16.0,main,3.5396,3.5355,2.9899,0.0,0.0014,
17.0,main,3.5303,3.5259,3.0044,0.0,0.0014,
18.0,main,3.513,3.5083,3.0269,0.0,0.0013,
19.0,main,3.5125,3.5075,3.0376,0.0,0.0014,
20.0,main,3.4841,3.4787,3.0778,0.0,0.0014,
21.0,main,3.4733,3.4676,3.1297,0.0,0.0013,
22.0,main,3.4628,3.4568,3.1256,0.0,0.0013,
23.0,main,3.4586,3.4524,3.1227,0.0,0.0014,
24.0,main,3.439,3.4325,3.1505,0.0,0.0013,
25.0,main,3.4269,3.4202,3.1317,0.0,0.0014,
26.0,main,3.4212,3.4141,3.1656,0.0,0.0014,
27.0,main,3.4036,3.3962,3.1957,0.0,0.0014,
28.0,main,3.4005,3.3929,3.191,0.0,0.0014,
29.0,main,3.3862,3.3783,3.1775,0.0,0.0013,
30.0,main,3.3795,3.3713,3.1757,0.0,0.0013,
31.0,main,3.3749,3.3665,3.1753,0.0,0.0014,
32.0,main,3.3453,3.3366,3.1922,0.0,0.0013,
33.0,main,3.3621,3.3533,3.1342,0.0,0.0013,
34.0,main,3.3502,3.341,3.163,0.0,0.0014,
35.0,main,3.3278,3.3184,3.1697,0.0,0.0013,
36.0,main,3.3412,3.3316,3.1284,0.0,0.0013,
37.0,main,3.3127,3.3028,3.1551,0.0,0.0013,
38.0,main,3.3176,3.3074,3.1289,0.0,0.0013,
39.0,main,3.3,3.2895,3.1528,0.0,0.0013,
40.0,main,3.2893,3.2785,3.1557,0.0,0.0013,
41.0,main,3.2847,3.2736,3.1484,0.0,0.0013,
42.0,main,3.2818,3.2707,3.1083,0.0,0.0013,
43.0,main,3.2685,3.2571,3.122,0.0,0.0013,
44.0,main,3.2583,3.2465,3.1361,0.0,0.0013,
45.0,main,3.2577,3.2457,3.1253,0.0,0.0012,
46.0,main,3.2497,3.2374,3.1335,0.0,0.0013,
47.0,main,3.2395,3.2269,3.1598,0.0,0.0012,
48.0,main,3.2326,3.2199,3.1362,0.0,0.0012,
49.0,main,3.2401,3.2271,3.1247,0.0,0.0013,
50.0,main,3.2331,3.2199,3.1095,0.0,0.0013,
51.0,main,3.2345,3.221,3.1174,0.0,0.0013,
52.0,main,3.218,3.2041,3.1377,0.0,0.0012,
53.0,main,3.2125,3.1985,3.1302,0.0,0.0012,
54.0,main,3.207,3.1926,3.1436,0.0,0.0012,
55.0,main,3.1957,3.1811,3.1358,0.0,0.0012,
