epoch,loss,recon,vq,l1,lpips,ms,edge,perplexity
19.0,0.0354,0.0332,0.0023,0.0273,0.0234,0.0141,0.0969,118.4
20.0,0.0351,0.0329,0.0022,0.0271,0.0231,0.014,0.0963,122.9
21.0,0.0349,0.0327,0.0022,0.027,0.0228,0.0139,0.0958,124.0
22.0,0.0347,0.0325,0.0022,0.0269,0.0225,0.0138,0.0953,126.0
23.0,0.0345,0.0323,0.0022,0.0267,0.0223,0.0137,0.0949,127.6
24.0,0.0343,0.0321,0.0022,0.0266,0.022,0.0137,0.0945,130.7
25.0,0.0341,0.032,0.0021,0.0265,0.0218,0.0136,0.0941,134.8
26.0,0.0339,0.0318,0.0021,0.0264,0.0216,0.0135,0.0936,138.4
27.0,0.0337,0.0316,0.0021,0.0263,0.0214,0.0134,0.0933,139.3
28.0,0.0336,0.0315,0.0021,0.0262,0.0212,0.0134,0.0929,142.5
29.0,0.0334,0.0313,0.0021,0.0261,0.021,0.0133,0.0925,147.0
30.0,0.0333,0.0312,0.002,0.026,0.0208,0.0132,0.0922,148.0
31.0,0.0331,0.0311,0.002,0.0259,0.0207,0.0132,0.0919,150.1
32.0,0.0329,0.0309,0.002,0.0258,0.0205,0.0131,0.0915,154.0
33.0,0.0328,0.0308,0.002,0.0257,0.0203,0.0131,0.0912,158.5
34.0,0.0326,0.0307,0.002,0.0256,0.0201,0.013,0.0909,164.0
35.0,0.0324,0.0305,0.0019,0.0255,0.02,0.0129,0.0905,168.3
36.0,0.0323,0.0304,0.0019,0.0255,0.0198,0.0129,0.0903,173.6
37.0,0.0322,0.0303,0.0019,0.0254,0.0197,0.0128,0.09,179.2
38.0,0.0321,0.0302,0.0019,0.0253,0.0195,0.0128,0.0897,182.9
39.0,0.0319,0.0301,0.0019,0.0252,0.0194,0.0127,0.0894,185.1
40.0,0.0318,0.0299,0.0019,0.0251,0.0193,0.0127,0.0892,187.6
41.0,0.0317,0.0298,0.0018,0.0251,0.0191,0.0127,0.0889,191.2
42.0,0.0316,0.0298,0.0018,0.025,0.019,0.0126,0.0887,195.0
43.0,0.0314,0.0296,0.0018,0.0249,0.0189,0.0126,0.0884,200.6
44.0,0.0313,0.0295,0.0018,0.0249,0.0188,0.0125,0.0882,205.2
45.0,0.0312,0.0294,0.0018,0.0248,0.0186,0.0125,0.088,211.7
46.0,0.0311,0.0293,0.0018,0.0247,0.0185,0.0124,0.0877,217.3
47.0,0.031,0.0293,0.0017,0.0247,0.0184,0.0124,0.0875,221.1
48.0,0.0309,0.0292,0.0017,0.0246,0.0183,0.0124,0.0873,226.8
49.0,0.0308,0.0291,0.0017,0.0246,0.0182,0.0123,0.0871,227.8
50.0,0.0307,0.029,0.0017,0.0245,0.0181,0.0123,0.0869,231.5
51.0,0.0306,0.0289,0.0017,0.0245,0.018,0.0122,0.0867,234.5
52.0,0.0305,0.0288,0.0017,0.0244,0.0179,0.0122,0.0865,237.6
53.0,0.0305,0.0288,0.0017,0.0244,0.0178,0.0122,0.0863,239.6
54.0,0.0304,0.0287,0.0017,0.0243,0.0177,0.0121,0.0861,242.6
55.0,0.0303,0.0286,0.0017,0.0243,0.0176,0.0121,0.0859,249.3
56.0,0.0302,0.0285,0.0017,0.0242,0.0175,0.0121,0.0857,254.5
57.0,0.0301,0.0285,0.0017,0.0242,0.0174,0.012,0.0855,256.5
58.0,0.03,0.0284,0.0017,0.0241,0.0173,0.012,0.0854,261.6
59.0,0.03,0.0283,0.0017,0.0241,0.0172,0.012,0.0852,266.2
60.0,0.0299,0.0282,0.0016,0.024,0.0171,0.0119,0.085,270.0
61.0,0.0298,0.0282,0.0016,0.024,0.017,0.0119,0.0849,278.6
62.0,0.0297,0.0281,0.0016,0.0239,0.0169,0.0119,0.0847,280.9
63.0,0.0297,0.028,0.0016,0.0239,0.0168,0.0118,0.0845,287.0
64.0,0.0296,0.028,0.0016,0.0238,0.0167,0.0118,0.0844,297.5
65.0,0.0295,0.0279,0.0016,0.0238,0.0167,0.0118,0.0843,300.3
66.0,0.0295,0.0279,0.0016,0.0238,0.0166,0.0118,0.0841,303.5
67.0,0.0294,0.0278,0.0016,0.0237,0.0165,0.0117,0.0839,307.7
68.0,0.0293,0.0277,0.0016,0.0237,0.0164,0.0117,0.0838,305.7
69.0,0.0293,0.0277,0.0016,0.0236,0.0164,0.0117,0.0837,310.6
70.0,0.0292,0.0276,0.0016,0.0236,0.0163,0.0117,0.0835,314.9
71.0,0.0292,0.0276,0.0016,0.0236,0.0162,0.0116,0.0834,314.7
72.0,0.0291,0.0275,0.0016,0.0235,0.0162,0.0116,0.0833,317.6
73.0,0.0291,0.0275,0.0016,0.0235,0.0161,0.0116,0.0832,318.0
74.0,0.029,0.0274,0.0016,0.0235,0.016,0.0116,0.083,324.2
75.0,0.029,0.0274,0.0016,0.0234,0.016,0.0115,0.0829,326.3
76.0,0.0289,0.0273,0.0016,0.0234,0.0159,0.0115,0.0828,331.0
77.0,0.0289,0.0273,0.0016,0.0234,0.0158,0.0115,0.0827,328.6
78.0,0.0288,0.0272,0.0016,0.0233,0.0158,0.0115,0.0826,335.6
79.0,0.0288,0.0272,0.0016,0.0233,0.0157,0.0115,0.0824,341.7
80.0,0.0287,0.0271,0.0016,0.0233,0.0156,0.0114,0.0823,348.3
81.0,0.0287,0.0271,0.0016,0.0232,0.0156,0.0114,0.0822,347.4
82.0,0.0286,0.027,0.0016,0.0232,0.0155,0.0114,0.0821,350.1
83.0,0.0286,0.027,0.0016,0.0232,0.0155,0.0114,0.082,349.8
84.0,0.0286,0.027,0.0016,0.0232,0.0154,0.0114,0.0819,351.5
85.0,0.0285,0.0269,0.0016,0.0231,0.0154,0.0113,0.0818,351.8
86.0,0.0285,0.0269,0.0016,0.0231,0.0153,0.0113,0.0818,350.7
87.0,0.0285,0.0268,0.0016,0.0231,0.0153,0.0113,0.0817,353.9
88.0,0.0284,0.0268,0.0016,0.0231,0.0152,0.0113,0.0816,355.3
89.0,0.0284,0.0268,0.0016,0.023,0.0152,0.0113,0.0815,361.9
90.0,0.0284,0.0267,0.0016,0.023,0.0151,0.0113,0.0814,359.2
91.0,0.0283,0.0267,0.0016,0.023,0.0151,0.0112,0.0814,361.9
92.0,0.0283,0.0267,0.0016,0.023,0.0151,0.0112,0.0813,364.4
93.0,0.0283,0.0266,0.0016,0.023,0.015,0.0112,0.0812,369.6
94.0,0.0282,0.0266,0.0016,0.0229,0.015,0.0112,0.0811,364.8
95.0,0.0282,0.0266,0.0016,0.0229,0.0149,0.0112,0.081,369.9
96.0,0.0282,0.0266,0.0016,0.0229,0.0149,0.0112,0.081,371.0
97.0,0.0282,0.0265,0.0016,0.0229,0.0148,0.0112,0.0809,371.1
98.0,0.0281,0.0265,0.0017,0.0229,0.0148,0.0112,0.0808,373.4
99.0,0.0281,0.0265,0.0017,0.0228,0.0148,0.0111,0.0808,376.1
